Baustein_ID	Fracht_ID	Perspektive_Typ	Akteur_Sender	Akteur_Empfaenger	Ursache_Kontext	Dialog_Forderung	Dialog_Drohung
SB11	F6	Tausch_Geschäft	{KOOPERATIVE_CHEF}	{POLITIKER}	Händler an der Bulan Bay fordern Kopra-Kuchen als Viehfutter im Tausch gegen Werkzeug.	Fahre den Kopra-Kuchen in 'Gedeckte Tonne' von Baraki Palms nach Port Varan Nord!	Ohne das Futter verweigern die Küstenhändler die Ersatzteile für unsere Ölmühlen.
SB12	F7	Brennstoff_Mangel	{KOOPERATIVE_CHEF}	{NUSSSAMMLER}	Die Trockenöfen in Baraki Palms kühlen ab, das Kokosöl droht zu stocken.	Rangiere Nussfasern & Holz im 'Niederbord kurz' intern vom Lager zu den Öfen in Baraki Palms!	Wenn die Öfen erkalten, ruiniert das die gesamte Tagesausbeute der {NUSSSAMMLER}.
SB13	F8	Kaltblütige_Chemie	{KOCH}	{GANG}	Im Stollen-Labor droht der chemische Syntheseprozess mangels Säuren zu kippen.	Liefert die Roh-Chemikalien im 'Kessel-VTG' exakt an Oshira Stollen Küche!	Keine Experimente! Wer den VTG-Kessel verunreinigt, probiert Heidelbergs Restchemikalien.
SB14	F8	Explosions_Gefahr	{KOCH}	{BEWOHNER}	Die gelieferten Lösungsmittel dünsten bei der feuchten Tropenhitze gefährlich aus.	Befördere die Chemikalien im 'Kessel-VTG' umgehend von Port Varan Nord zum Stollen!	Trödelt nicht! Eine Funkenbildung am Fahrgestell und der ganze Zug fliegt euch um die Ohren.
SB15	F9	Schmuggel_Stealth	{KOCH}	{BOSS}	Die Reinstware ist verpackt und muss verdeckt vor den Guerillas abtransportiert werden.	Schmuggelt das Meth in 'Gedeckte Tonne' von Oshira Stollen Küche nach Port Varan Nord!	Wenn Wokongs Leute die Ladung abfangen, rollt bei der {GANG} mehr als nur ein Kopf.
SB16	F9	Habgier_Eile	{BOSS}	{GANG}	Ein U-Boot der Schmuggler wartet vor der Küste auf die Drogenfracht.	Schaff das kristalline Meth im 'Gedeckte Tonne' sofort von Oshira Stollen Küche nach Port Varan Nord!	Wenn das Boot ohne Ware abtaucht, ziehe ich euch den Lohn von den Knochen.
SB17	F10	Altlast_Gift	{KOCH}	{POLITIKER}	Die Bunkertanks laufen über, ätzendes Abwasser bedroht das Grundwasser.	Schafft das Labor-Abwasser im 'Kessel-VTG' schleunigst nach Port Varan Süd!	Bürgermeister Washington wird schweigen, sonst landet der Unrat in seinem Trinkbrunnen.
SB18	F11	Energie_Sicherheit	{KOOPERATIVE_CHEF}	{NUSSSAMMLER}	Der Hauptgenerator in Baraki Palms stottert, das Solardach reicht nicht aus.	Bringe den 'SHELL'-Kesselwagen mit Treibstoff von Port Varan Nord nach Baraki Palms!	Ohne Strom stehen die Ölmühlen still und die {GANG} fordert blutige Strafabgaben.
SB19	F12	Sabotage_Notfall	{REBELLEN_CHEF}	{KOCH}	Wokongs Guerillas haben die Hauptstromleitung zum Oshira Stollen gekappt.	Fahre Bunker-Diesel im 'SHELL' von Port Varan Nord nach Oshira Stollen Abstellung!	Bringt den Diesel für die Notaggregate, bevor Heidelberg im Dunkeln die Nerven verliert.
SB20	F13	Reinigung_Pflicht	{FISHWORKS_LEITER}	{GANG}	Der Kesselwagen 'SHELL' stinkt nach Diesel und muss vor dem Öl-Transport gespült werden.	Transportiere Reinigungsmittel im 'Kessel-VTG' von Port Varan Nord nach Kalanga Fishworks Nord!	Ohne Spülung kein Speiseöl! Wayan weigert sich sonst, die Wagen anzunehmen.
SB21	F14	Guerilla_Schutz	{GANG}	{REBELLEN_CHEF}	Späher der Rebellen um Wokong wurden an den Berghängen gesichtet.	Verlege die Wachgruppe im 'Personenwagen' von Port Varan Süd nach Oshira Stollen Küche!	Besetzt die Zugspitze mit Wachen, bevor Wokong den Zug an den Klippen entgleisen lässt.
SB22	F15	Schichtwechsel	{KOOPERATIVE_CHEF}	{BEWOHNER}	Die Nusssammler in Baraki Palms brauchen Ablösung nach der 16-Stunden-Schicht.	Befördere die Arbeiter im 'Personenwagen' von Port Varan Süd nach Baraki Palms!	Sorgt für den Wechsel, bevor die entkräfteten Arbeiter vor der Ölmühle kollabieren.
